id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Shape of You,Ed Sheeran,pop,dancey,0.85,96,0.93,0.82,0.12
12,Lose Yourself,Eminem,hip hop,intense,0.95,171,0.48,0.35,0.05
13,One More Time,Daft Punk,edm,joyful,0.90,123,0.88,0.95,0.02
14,Take Me Home Country Roads,John Denver,country,nostalgic,0.55,82,0.76,0.67,0.39
15,No Woman No Cry,Bob Marley,reggae,relaxed,0.45,75,0.72,0.60,0.58
16,Enter Sandman,Metallica,metal,intense,0.97,123,0.33,0.45,0.01
17,Hallelujah,Jeff Buckley,folk,mellow,0.30,70,0.18,0.22,0.84
18,The Thrill Is Gone,B.B. King,blues,soulful,0.40,90,0.22,0.44,0.55
19,Blinding Lights,The Weeknd,synthpop,nostalgic,0.88,171,0.71,0.75,0.03
20,Despacito,Luis Fonsi,latin pop,romantic,0.82,89,0.91,0.88,0.04
21,Gangnam Style,PSY,k-pop,party,0.92,132,0.66,0.90,0.02
22,Bad Guy,Billie Eilish,alt pop,moody,0.56,135,0.32,0.65,0.45
